Taxi1,Taxi2
227,2653
260,1109
1409,10063
1024,1105
1389,10014
1458,1590
2847,10031
1756,1832
1205,10031
1712,1753
1277,10047
2585,10278
1525,2802
2303,10034
10123,10147
1277,1425
1347,2652
1526,2138
1601,2568
2601,10002
1064,10186
236,10034
1796,10239
1415,2554
2669,10002
272,10002
2475,2808
235,1434
180,1773
1832,10188
2079,2170
1074,1743
1601,1745
1724,10083
1361,1629
1788,10247
1891,2770
2142,2779
1640,2541
1024,1207
1938,2311
274,2314
190,1170
2788,10065
1747,2450
1146,10065
1644,2385
1813,2172
1883,2496
227,1191
1688,1762
1881,10290
2082,10307
2263,2493
2263,2264
1712,1832
116,10103
183,1800
124,164
1243,10002
1277,1513
1032,2100
1267,2622
1601,2409
1149,2267
1756,1776
2836,10002
1277,10000
2099,2780
272,2735
1453,1613
1074,2501
2016,2126
1016,1593
1644,1827
283,2017
2037,2832
1014,1022
1422,1890
1463,10153
201,1911
1072,2531
1098,1775
1847,2545
1776,1847
175,1876
1873,10020
260,284
10108,10204
1466,10047
2366,10047
1716,1838
1605,2486
1277,1885
1582,2530
1738,10078
1848,2402
2314,2803
2041,2806
2707,10196
1775,10002
2148,2779
2560,10290
2033,2560
1286,2235
1244,10204
1644,2608
1209,1615
1806,2499
1748,10002
1789,10012
1958,2084
1257,1408
1566,2154
2705,10002
1255,2359
1687,2291
1876,10034
1773,2321
235,1130
1688,2780
215,1170
1796,10047
1072,1474
1843,2394
1109,2188
1336,2078
2500,2682
1096,2087
2126,10047
1563,2205
146,1277
1016,1416
1025,10123
2063,2128
1773,2325
1130,2606
1525,1576
177,2450
1773,2172
2553,10002
2448,10047
1361,1837
1370,10064
1154,1781
1514,1944
1024,2592
25,1247
1607,10012
2590,2700
1830,10002
1235,1738
2458,10254
1938,1993
10002,10194
1658,10170
2194,2318
1770,2436
2079,2606
2092,10291
1170,2529
1582,2721
147,10006
1770,2274
1741,10222
1513,1965
181,1526
1770,2130
235,1115
1921,2717
2381,10002
1350,2617
1688,1938
1617,1896
1069,2195
2594,10002
1130,1140
1616,2602
1072,2209
1841,2302
1935,10064
1277,10064
2314,2778
1072,2065
2019,10072
1434,1654
1124,10105
1724,10002
1508,1747
261,1504
1415,2342
1335,2569
2681,10002
28,2321
1072,2622
1566,1702
10072,10248
1286,2560
1415,1789
1688,2472
2548,10268
1053,10031
1347,1770
1097,2162
131,10002
1148,2311
1854,2226
226,10047
1064,1423
1327,1406
1409,1695
10058,10061
1103,1131
1827,2128
1640,2549
1059,10002
239,1443
1737,10304
1563,10002
1408,2818
283,10037
2486,10031
1277,1935
1131,10103
1854,1965
1458,1965
2065,2795
1540,10140
1773,2385
132,1065
1115,2012
227,273
1563,2799
10,2410
1415,1747
1150,1336
1415,2839
1563,1743
222,1097
2318,10191
2583,2617
1585,10178
1170,2589
1072,2292
1525,1743
2514,2523
1563,2776
1933,2495
1467,1914
1121,1277
1730,10119
1591,2502
1349,2560
10047,10135
2019,10002
1018,2307
1667,2487
2041,2814
1277,2329
1712,2486
2570,2669
1658,1868
1299,2106
1738,2138
1854,1950
1415,2555
10140,10331
1064,1412
2160,2397
2404,10351
1098,1517
2160,2253
1085,1565
1109,1931
1654,2396
1563,1881
2139,10299
2201,2812
1097,1813
1170,2462
2679,10002
1277,1627
2660,10034
1209,2813
2630,10002
243,1644
1277,2148
1563,2514
1958,2644
221,2138
2404,10031
1949,2406
1275,1320
1492,10065
1064,2058
1361,2501
1834,2357
1793,2185
1694,10047
238,1854
1770,2467
1072,2025
1098,2172
1257,10158
1525,1570
1300,2126
1513,2517
1415,1466
1335,1455
123,1170
1072,1975
2082,10020
1710,1755
1534,2432
2226,2669
1016,2079
232,1854
1688,2499
1949,2540
2306,2539
1072,1876
1772,10064
127,1935
2160,2750
102,10002
227,2287
131,10047
1336,2318
1443,2026
1415,2382
1525,2751
1640,2320
281,1467
2467,10207
1557,1931
175,1095
1876,10031
1644,2573
1743,10261
1725,10002
1747,10002
219,1277
1083,2514
182,1902
1016,2204
1286,1409
1770,2434
1235,1592
1378,1757
1024,1408
1142,10031
2304,2331
2175,2357
1097,2808
1182,10351
1434,1837
1072,2077
1644,2321
1795,10047
1072,2095
277,283
1939,2583
1563,2323
16,10307
1170,1592
1032,2153
1746,10047
1109,1115
1931,2108
2119,2662
2142,2148
1154,2663
2183,10002
263,1854
2256,2398
1933,2437
1024,2580
2192,2782
1215,2669
184,2814
1958,2560
1072,1573
2030,2347
1160,1277
2469,2537
146,1511
2303,2752
1854,2130
2148,2311
239,10351
1791,2339
1434,1674
1318,2146
124,189
1277,1965
1277,1309
1925,10012
1473,10269
215,10124
2747,10205
10002,10033
1032,1370
28,1770
1066,10124
146,2180
1286,1762
