Taxi1,Taxi2
1409,1695
227,2653
1103,1131
1640,2549
260,1109
239,1443
1300,2126
1712,1753
1601,2568
1064,10186
1072,1474
2500,2682
132,1065
2306,2539
1072,1876
1563,2205
1772,10064
272,10002
1832,10188
102,10002
146,1277
1025,10123
1415,2382
1640,2320
1525,1576
1563,1743
177,2450
1773,2172
1074,1743
2467,10207
1743,10261
1525,1743
2514,2523
1361,1629
1788,10247
1747,10002
1154,1781
1083,2514
182,1902
1640,2541
1024,2592
25,1247
190,1170
1349,2560
2019,10002
1235,1738
2175,2357
1747,2450
1072,2077
1146,10065
1582,2721
147,10006
16,10307
1688,1762
1881,10290
1854,1950
1170,1592
1746,10047
1109,1115
10140,10331
2119,2662
2142,2148
1712,1832
124,164
1069,2195
2404,10351
1130,1140
1601,2409
1267,2622
1098,1517
2836,10002
2192,2782
2019,10072
1644,1827
1563,1881
1124,10105
2201,2812
1724,10002
261,1504
1072,1573
1415,2342
201,1911
2469,2537
2303,2752
239,10351
1072,2622
2630,10002
1286,2560
260,284
10108,10204
1958,2644
221,2138
1347,1770
1738,10078
1492,10065
1148,2311
1854,2226
1694,10047
238,1854
2560,10290
2033,2560
28,1770
1644,2608
