Taxi1,Taxi2
6128,10249
8748,9778
226,5565
4440,5038
2958,3837
2930,8205
3818,8667
3785,6275
1359,3579
1109,9066
866,10062
7187,9223
3569,4930
1702,3918
1361,10041
2142,9852
4501,4910
6275,9895
366,8204
3884,9637
517,8373
3970,8657
3259,7333
6239,7205
5580,6071
6335,7667
7883,9865
6119,9732
293,4134
1012,3067
547,7434
3644,5639
1443,5505
6166,8797
3740,6101
1935,5967
223,1860
7098,9531
1931,8477
405,3594
1153,8183
6474,10081
4268,5439
4889,8001
722,2712
2833,4084
5935,9803
969,2589
7433,8474
4599,8427
676,4996
9234,9620
1832,4684
4139,5968
4414,8647
154,161
4443,7133
3579,4813
833,6865
2385,2389
2512,8580
208,397
2669,5531
3877,5409
4560,4685
3942,5804
3870,4238
8662,9579
6333,10199
4466,9187
3401,8863
2976,3207
919,8487
1841,7779
5141,7821
843,3015
6512,8629
8119,8778
9063,10273
689,8964
5854,6939
2862,4798
5912,10327
131,1466
2560,4433
4615,8125
6790,7792
4164,9946
1554,4689
9109,9867
5127,9993
1768,6338
2878,5681
574,7297
1443,3545
3781,4142
6611,7453
1847,1908
5432,10225
1131,1738
5454,8294
1875,9591
1567,9438
142,4607
6761,7397
1625,8662
2494,2658
8973,9575
1129,2796
7161,8270
2617,7195
153,8179
4762,7397
1271,5131
8347,10052
6358,7357
219,9176
1931,6867
2454,2478
2560,10044
4699,7048
1266,7416
1837,7205
842,5368
1513,1631
334,6655
6120,7192
1980,5978
643,994
1830,7165
1133,4793
54,1353
6520,8065
1702,7919
2380,6851
3973,6540
675,3915
3839,4096
181,6790
8474,8672
3257,4091
5172,8557
822,9977
3033,9301
1295,6225
4609,9383
1087,4798
971,7067
2927,7370
4924,7674
4459,9789
1374,7457
6603,7137
834,3571
6128,10062
6790,9215
4927,4939
5729,6381
226,5378
2773,6903
6569,6772
2401,8428
7218,8349
2326,5810
4848,8968
4378,9985
7050,9704
2325,6339
1131,3161
3655,7146
420,1837
8201,8267
7198,9575
8256,8728
5085,5124
1726,8639
2086,2566
4862,6772
5139,5360
3557,6961
1277,3336
2053,3557
1657,3557
7811,8462
1770,6652
3133,4189
4383,9174
3540,8485
5221,10273
5415,7106
8463,9556
7630,8801
2883,6643
7986,10156
7056,9468
4102,4401
3563,9785
2637,6587
1847,8942
1876,7428
976,5451
5890,6059
3725,7834
791,9835
9354,9885
4867,9344
2881,6166
4798,7295
7922,8801
221,3074
5611,10027
1557,7833
2534,6058
2675,4785
756,9999
249,2089
818,4461
1121,2018
1277,8947
1745,4851
3240,4005
5702,6358
2173,7018
6665,8657
24,2910
4325,4981
2544,2989
1179,9543
799,2906
5967,6814
986,4984
9945,9952
8463,8751
2164,6905
2723,4425
861,7167
3579,10237
6275,8098
7400,8473
960,7146
7015,8662
366,6407
1202,6679
1479,3015
3287,3420
2669,4539
5408,5480
2435,4143
1789,7378
10,2049
7446,8067
2038,3918
1563,5345
3421,8523
35,3799
2653,6665
5954,9561
1126,7973
1563,8728
2560,9857
3510,4781
2044,4113
6277,6989
1466,8014
7146,7401
468,3250
1493,9837
2018,6275
2731,7645
366,5602
77,5499
3967,8790
7456,8731
4834,8375
1971,4924
2313,8825
6327,6702
6113,6184
4492,7857
7174,9018
4932,8129
5450,9812
8499,9481
3717,4828
1817,7840
152,3579
1277,3954
3579,4894
5542,6368
3142,9057
3113,3401
7285,9788
941,1753
944,8440
2240,4001
1118,9559
2560,5669
3120,10207
2925,7487
7250,9952
249,10278
5593,9716
715,9519
1830,9206
2950,8483
5463,7391
2569,3129
4939,8145
3015,6599
1360,3026
1387,1439
1731,5413
1913,7147
1131,6357
3557,9807
3961,7416
721,8179
1131,9740
2988,4402
1590,7810
1277,3149
1717,9837
2560,4864
996,7071
3233,7616
405,6603
3015,5444
3732,8468
392,4863
151,6686
2551,3997
2914,8021
4452,4593
486,8662
7919,7993
5964,7134
4443,6759
4151,6358
4177,5327
2669,5157
8605,8671
3872,4691
2313,3832
418,6434
1965,6532
2873,8370
1727,7118
1848,8576
7008,8459
793,9694
2371,4187
2240,5424
1443,4326
2372,7041
3769,9824
7105,9523
3958,6313
3268,5866
8493,10308
2617,4593
877,4854
4819,8335
28,10012
2146,8391
2669,4002
862,7205
2075,3263
3145,3931
175,6275
6275,7911
3260,4820
8079,8574
2033,6420
3096,10081
7146,8369
2385,4593
4775,5380
5148,10092
4778,4897
5862,9435
796,9187
4461,6910
1283,9305
1319,4798
6971,8553
4545,5857
3557,8197
2862,6652
7005,7383
4429,8126
759,2889
948,5794
6916,8065
2809,6991
1131,8130
2862,3619
1277,7955
2953,5989
279,3191
2118,6319
3145,6159
3109,4250
3071,7930
459,8262
366,5065
4504,6206
4414,9696
1109,2894
1745,7242
7146,7214
7210,8138
2669,6580
4462,9363
3037,8696
1700,6718
6834,8790
2193,3618
1128,3294
2722,6591
8606,9915
4993,5966
6132,10211
667,6282
1508,6898
2905,8927
5075,8250
5856,8061
6427,7096
7817,8708
1495,5158
1395,1544
3201,8696
3015,6062
7318,8960
1767,6785
7711,8662
9835,10239
5595,9575
7049,8728
5070,7475
3496,8994
772,2669
6111,8179
2448,4867
5744,6665
116,1052
725,8515
42,5075
1110,9080
7146,9792
5332,7660
6366,6419
1313,2269
1131,6170
3495,8742
852,1093
6885,7923
6723,9093
715,8177
1131,3137
5109,6275
5415,9765
3142,8065
3336,4144
3953,9970
3418,6428
2487,9302
6211,7605
9736,10209
3511,5838
3015,8640
5692,8703
5867,7014
5564,7205
177,4687
366,422
5894,8837
3189,6726
2669,4970
1415,1741
4842,7220
4183,8338
3787,8338
1110,8275
3467,6670
8625,9136
1757,9025
1191,3918
8622,8838
8374,8736
1557,7459
6393,6656
4397,9206
7133,7220
2272,9656
3015,7485
5565,6275
2896,3821
7118,8817
2672,4113
4798,7271
5070,5515
836,2414
839,1931
4980,6753
3708,8580
3015,4452
3579,6480
8581,9187
1513,8291
4443,8800
3319,4863
9366,9871
3969,6665
4698,6286
1480,2866
865,9918
2966,4186
4549,6193
3557,4627
131,6166
4582,4798
850,5853
6665,7128
538,4046
1353,9857
4020,9232
11,5283
1131,4560
7137,9567
3579,5325
2094,4607
